[2025-10-26T06:23:09.033Z] 📦 Moved: simple-download-fix.js → _cleanup_backup\simple-download-fix.js
[2025-10-26T06:23:09.035Z] 📦 Moved: step-by-step-fix.js → _cleanup_backup\step-by-step-fix.js
[2025-10-26T06:23:09.038Z] 📦 Moved: setup-admin-panel.js → _cleanup_backup\setup-admin-panel.js
[2025-10-26T06:23:09.041Z] 📦 Moved: setup-admin.js → _cleanup_backup\setup-admin.js
[2025-10-26T06:23:09.042Z] 📦 Moved: setup-auth.js → _cleanup_backup\setup-auth.js
[2025-10-26T06:23:09.044Z] 📦 Moved: setup-crypto-payments.js → _cleanup_backup\setup-crypto-payments.js
[2025-10-26T06:23:09.045Z] 📦 Moved: setup-production-admin.js → _cleanup_backup\setup-production-admin.js
[2025-10-26T06:23:09.047Z] 📦 Moved: setup-railway-admin.js → _cleanup_backup\setup-railway-admin.js
[2025-10-26T06:23:09.050Z] 📦 Moved: setup-utilities-sync.js → _cleanup_backup\setup-utilities-sync.js
[2025-10-26T06:23:09.053Z] 📦 Moved: setup-wallet-addresses.js → _cleanup_backup\setup-wallet-addresses.js
[2025-10-26T06:23:09.055Z] 📦 Moved: deploy-complete-fix.bat → _cleanup_backup\deploy-complete-fix.bat
[2025-10-26T06:23:09.056Z] 📦 Moved: deploy-complete-fix.ps1 → _cleanup_backup\deploy-complete-fix.ps1
[2025-10-26T06:23:09.057Z] 📦 Moved: deploy-complete-fixes.js → _cleanup_backup\deploy-complete-fixes.js
[2025-10-26T06:23:09.060Z] 📦 Moved: deploy-fixes.js → _cleanup_backup\deploy-fixes.js
[2025-10-26T06:23:09.063Z] 📦 Moved: deploy-subscription-fixes.js → _cleanup_backup\deploy-subscription-fixes.js
[2025-10-26T06:23:09.090Z] 📦 Moved: deploy.bat → _cleanup_backup\deploy.bat
[2025-10-26T06:23:09.092Z] 📦 Moved: deploy.ps1 → _cleanup_backup\deploy.ps1
[2025-10-26T06:23:09.093Z] 📦 Moved: deploy-health-fix.bat → _cleanup_backup\deploy-health-fix.bat
[2025-10-26T06:23:09.094Z] 📦 Moved: deploy-health-fix.ps1 → _cleanup_backup\deploy-health-fix.ps1
[2025-10-26T06:23:09.095Z] 📦 Moved: force-railway-minimal.js → _cleanup_backup\force-railway-minimal.js
[2025-10-26T06:23:09.096Z] 📦 Moved: force-railway-redeploy.bat → _cleanup_backup\force-railway-redeploy.bat
[2025-10-26T06:23:09.097Z] 📦 Moved: force-restart.bat → _cleanup_backup\force-restart.bat
[2025-10-26T06:23:09.098Z] 📦 Moved: force-ultra-minimal.js → _cleanup_backup\force-ultra-minimal.js
[2025-10-26T06:23:09.103Z] 📦 Moved: railway-build-and-serve.js → _cleanup_backup\railway-build-and-serve.js
[2025-10-26T06:23:09.107Z] 📦 Moved: railway-deploy-fix.js → _cleanup_backup\railway-deploy-fix.js
[2025-10-26T06:23:09.110Z] 📦 Moved: railway-start.js → _cleanup_backup\railway-start.js
[2025-10-26T06:23:09.111Z] 📦 Moved: railway-full-server-backup.js → _cleanup_backup\railway-full-server-backup.js
[2025-10-26T06:23:09.112Z] 📦 Moved: railway-full-server-simple.js → _cleanup_backup\railway-full-server-simple.js
[2025-10-26T06:23:09.113Z] 📦 Moved: server-minimal.js → _cleanup_backup\server-minimal.js
[2025-10-26T06:23:09.114Z] 📦 Moved: package-corrected.json → _cleanup_backup\package-corrected.json
[2025-10-26T06:23:09.115Z] 📦 Moved: package-minimal.json → _cleanup_backup\package-minimal.json
[2025-10-26T06:23:09.120Z] 📦 Moved: package-optimized.json → _cleanup_backup\package-optimized.json
[2025-10-26T06:23:09.123Z] 📦 Moved: package-ultra-minimal.json → _cleanup_backup\package-ultra-minimal.json
[2025-10-26T06:23:09.125Z] 📦 Moved: routes/users.js.bak → _cleanup_backup\users.js.bak
[2025-10-26T06:23:09.126Z] 📦 Moved: routes/subscriptions-clean.js → _cleanup_backup\subscriptions-clean.js
[2025-10-26T06:23:09.128Z] 📦 Moved: _RUN_THIS_SQL_NOW.sql → _cleanup_backup\_RUN_THIS_SQL_NOW.sql
[2025-10-26T06:23:09.129Z] 📦 Moved: _SIMPLE_SQL_FIX.sql → _cleanup_backup\_SIMPLE_SQL_FIX.sql
[2025-10-26T06:23:09.130Z] 📦 Moved: DELETE_ALL_EAS.sql → _cleanup_backup\DELETE_ALL_EAS.sql
[2025-10-26T06:23:09.132Z] 📦 Moved: fix-ea-files.sql → _cleanup_backup\fix-ea-files.sql
[2025-10-26T06:23:09.137Z] 📦 Moved: fix-supabase-storage-buckets.sql → _cleanup_backup\fix-supabase-storage-buckets.sql
[2025-10-26T06:23:09.140Z] 📦 Moved: RUN_THIS_SQL.sql → _cleanup_backup\RUN_THIS_SQL.sql
[2025-10-26T06:23:09.142Z] 📦 Moved: ea-response.json → _cleanup_backup\ea-response.json
[2025-10-26T06:23:09.143Z] 📦 Moved: temp-lot-calculator.txt → _cleanup_backup\temp-lot-calculator.txt
[2025-10-26T06:23:09.145Z] 📦 Moved: generate-hash.js → _cleanup_backup\generate-hash.js
[2025-10-26T06:23:09.147Z] 📦 Moved: get-uploaded-file-url.js → _cleanup_backup\get-uploaded-file-url.js
[2025-10-26T06:23:09.148Z] 📦 Moved: refresh-signal-prices.js → _cleanup_backup\refresh-signal-prices.js
[2025-10-26T06:23:09.167Z] 📦 Moved: run-paystack-test.js → _cleanup_backup\run-paystack-test.js
[2025-10-26T06:23:09.168Z] 📦 Moved: run-test-flow.js → _cleanup_backup\run-test-flow.js
[2025-10-26T06:23:09.169Z] 📦 Moved: delete-all-eas.js → _cleanup_backup\delete-all-eas.js
[2025-10-26T06:23:09.170Z] 📦 Moved: delete-misnamed-files.js → _cleanup_backup\delete-misnamed-files.js
[2025-10-26T06:23:09.171Z] 📦 Moved: launch-admin-panel.js → _cleanup_backup\launch-admin-panel.js
[2025-10-26T06:23:09.172Z] 📦 Moved: monitor-backend.js → _cleanup_backup\monitor-backend.js
[2025-10-26T06:23:09.173Z] 📦 Moved: start-all-services.bat → _cleanup_backup\start-all-services.bat
[2025-10-26T06:23:09.174Z] 📦 Moved: start-all-services.ps1 → _cleanup_backup\start-all-services.ps1
[2025-10-26T06:23:09.175Z] 📦 Moved: start-all.bat → _cleanup_backup\start-all.bat
[2025-10-26T06:23:09.176Z] 📦 Moved: start-all.ps1 → _cleanup_backup\start-all.ps1
[2025-10-26T06:23:09.177Z] 📦 Moved: start-app.bat → _cleanup_backup\start-app.bat
[2025-10-26T06:23:09.178Z] 📦 Moved: start-app.ps1 → _cleanup_backup\start-app.ps1
[2025-10-26T06:23:09.179Z] 📦 Moved: start-desktop-app.bat → _cleanup_backup\start-desktop-app.bat
[2025-10-26T06:23:09.180Z] 📦 Moved: start-desktop-app.ps1 → _cleanup_backup\start-desktop-app.ps1
[2025-10-26T06:23:09.181Z] 📦 Moved: start-desktop.bat → _cleanup_backup\start-desktop.bat
[2025-10-26T06:23:09.182Z] 📦 Moved: start-desktop.ps1 → _cleanup_backup\start-desktop.ps1
[2025-10-26T06:23:09.184Z] 📦 Moved: start-dev.js → _cleanup_backup\start-dev.js
[2025-10-26T06:23:09.184Z] 📦 Moved: start-railway.js → _cleanup_backup\start-railway.js
[2025-10-26T06:23:09.185Z] 📦 Moved: start-server.bat → _cleanup_backup\start-server.bat
[2025-10-26T06:23:09.186Z] 📦 Moved: start-server.ps1 → _cleanup_backup\start-server.ps1
[2025-10-26T06:23:09.187Z] 📦 Moved: start-windows.bat → _cleanup_backup\start-windows.bat
[2025-10-26T06:23:09.188Z] 📦 Moved: start-windows.ps1 → _cleanup_backup\start-windows.ps1
[2025-10-26T06:23:09.189Z] 📦 Moved: DEPLOY_FIX_NOW.md → _cleanup_backup\DEPLOY_FIX_NOW.md
[2025-10-26T06:23:09.190Z] 📦 Moved: DEPLOY_NOW.md → _cleanup_backup\DEPLOY_NOW.md
[2025-10-26T06:23:09.192Z] 📦 Moved: DEPLOY_TO_HEROKU.md → _cleanup_backup\DEPLOY_TO_HEROKU.md
[2025-10-26T06:23:09.193Z] 📦 Moved: DEPLOY_TO_RENDER.md → _cleanup_backup\DEPLOY_TO_RENDER.md
[2025-10-26T06:23:09.194Z] 📦 Moved: DEPLOYMENT_COMPLETE_FINAL.md → _cleanup_backup\DEPLOYMENT_COMPLETE_FINAL.md
[2025-10-26T06:23:09.195Z] 📦 Moved: DEPLOYMENT_COMPLETE_SUMMARY.md → _cleanup_backup\DEPLOYMENT_COMPLETE_SUMMARY.md
[2025-10-26T06:23:09.196Z] 📦 Moved: DEPLOYMENT_COMPLETE.md → _cleanup_backup\DEPLOYMENT_COMPLETE.md
[2025-10-26T06:23:09.226Z] 📦 Moved: DEPLOYMENT_IN_PROGRESS.md → _cleanup_backup\DEPLOYMENT_IN_PROGRESS.md
[2025-10-26T06:23:09.238Z] 📦 Moved: DEPLOYMENT_PLATFORMS_GUIDE.md → _cleanup_backup\DEPLOYMENT_PLATFORMS_GUIDE.md
[2025-10-26T06:23:09.241Z] 📦 Moved: DEPLOYMENT_PUSHED_TO_RAILWAY.md → _cleanup_backup\DEPLOYMENT_PUSHED_TO_RAILWAY.md
[2025-10-26T06:23:09.261Z] 📦 Moved: DEPLOYMENT_READY_SUMMARY.md → _cleanup_backup\DEPLOYMENT_READY_SUMMARY.md
[2025-10-26T06:23:09.275Z] 📦 Moved: DEPLOYMENT_STATUS.md → _cleanup_backup\DEPLOYMENT_STATUS.md
[2025-10-26T06:23:09.279Z] 📦 Moved: DEPLOYMENT_SUCCESS.txt → _cleanup_backup\DEPLOYMENT_SUCCESS.txt
[2025-10-26T06:23:09.285Z] 📦 Moved: QUICK_DEPLOYMENT_START.md → _cleanup_backup\QUICK_DEPLOYMENT_START.md
[2025-10-26T06:23:09.287Z] 📦 Moved: START_HERE_CHOOSE_PLATFORM.md → _cleanup_backup\START_HERE_CHOOSE_PLATFORM.md
[2025-10-26T06:23:09.292Z] 📦 Moved: START_HERE_DEPLOY.md → _cleanup_backup\START_HERE_DEPLOY.md
[2025-10-26T06:23:09.300Z] 📦 Moved: START_HERE_DEPLOYMENT.md → _cleanup_backup\START_HERE_DEPLOYMENT.md
[2025-10-26T06:23:09.310Z] 📦 Moved: START_HERE_FINAL.md → _cleanup_backup\START_HERE_FINAL.md
[2025-10-26T06:23:09.317Z] 📦 Moved: START_HERE_FINAL.txt → _cleanup_backup\START_HERE_FINAL.txt
[2025-10-26T06:23:09.327Z] 📦 Moved: START_ME_FIRST.md → _cleanup_backup\START_ME_FIRST.md
[2025-10-26T06:23:09.328Z] 📦 Moved: RAILWAY_BUILD_FIX_V2.md → _cleanup_backup\RAILWAY_BUILD_FIX_V2.md
